ENCELADUS	EUROPA	metabolism	Substrate	KEGG Module	pathway	protein family 	protein id	reaction	family gene	gene	marker gene	KEGG ID	COG ID	GO ID 	GenBank 	KEGG genome	Uniprot	NCBI protein
yes	yes	methanogenesis	methanogenes without cytochromes	0	energy conversion	energy-converting [NiFe] hydrogenase A (group 4f)	Eha cluster	interconversion of molecular H+ and H2 	EhaE	EhaE	yes	K14096	COG4038	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenes without cytochromes	0	energy conversion	energy-converting [NiFe] hydrogenase A (group 4f)	Eha cluster	interconversion of molecular H+ and H2 	EhaF	EhaF	yes	K14097	COG4037	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenes without cytochromes	0	energy conversion	energy-converting [NiFe] hydrogenase A (group 4f)	Eha cluster	interconversion of molecular H+ and H2 	EhaG	EhaG	yes	K14098	COG4036	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenes without cytochromes	0	energy conversion	energy-converting [NiFe] hydrogenase A (group 4f)	Eha cluster	interconversion of molecular H+ and H2 	EhaH	EhaH	no	K14099	COG4078	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenes without cytochromes	0	energy conversion	energy-converting [NiFe] hydrogenase A (group 4f)	Eha cluster	interconversion of molecular H+ and H2 	EhaI	EhaI	no	K14100	NA	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenes without cytochromes	0	energy conversion	energy-converting [NiFe] hydrogenase A (group 4f)	Eha cluster	interconversion of molecular H+ and H2 	EhaJ	EhaJ	no	K14101	COG0650	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenes without cytochromes	0	energy conversion	energy-converting [NiFe] hydrogenase A (group 4f)	Eha cluster	interconversion of molecular H+ and H2 	EhaK	EhaK	no	K14102	NA	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenes without cytochromes	0	energy conversion	energy-converting [NiFe] hydrogenase A (group 4f)	Eha cluster	interconversion of molecular H+ and H2 	EhaL	EhaL	yes	K14103	COG4035	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenes without cytochromes	0	energy conversion	energy-converting [NiFe] hydrogenase A (group 4f)	Eha cluster	interconversion of molecular H+ and H2 	EhaM	EhaM	no	K14104	COG4084	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenes without cytochromes	0	energy conversion	energy-converting [NiFe] hydrogenase A (group 4f)	Eha cluster	interconversion of molecular H+ and H2 	EhaN	EhaN	no	K14105	COG3260	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenes without cytochromes	0	energy conversion	energy-converting [NiFe] hydrogenase A (group 4f)	Eha cluster	interconversion of molecular H+ and H2 	EhaO	EhaO	no	K14106	COG3261	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenes without cytochromes	0	energy conversion	energy-converting [NiFe] hydrogenase A (group 4f)	Eha cluster	interconversion of molecular H+ and H2 	EhaP	EhaP	no	K14107	COG1145	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenes without cytochromes	0	energy conversion	energy-converting [NiFe] hydrogenase A (group 4f)	Eha cluster	interconversion of molecular H+ and H2 	EhaQ	EhaQ	no	K14108	COG1145	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenes without cytochromes	0	energy conversion	energy-converting [NiFe] hydrogenase A (group 4f)	Eha cluster	interconversion of molecular H+ and H2 	EhaR	EhaR	no	K14109	COG4030	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenes without cytochromes	0	energy conversion	energy-converting [NiFe] hydrogenase B (group 4i)	Ehb cluster	interconversion of molecular H+ and H3	EhbA	EhbA	no	K14110	COG1863	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenes without cytochromes	0	energy conversion	energy-converting [NiFe] hydrogenase B (group 4i)	Ehb cluster	interconversion of molecular H+ and H4	EhbB	EhbB	no	K14111	COG2212	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenes without cytochromes	0	energy conversion	energy-converting [NiFe] hydrogenase B (group 4i)	Ehb cluster	interconversion of molecular H+ and H5	EhbC	EhbC	no	K14112	COG1320	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenes without cytochromes	0	energy conversion	energy-converting [NiFe] hydrogenase B (group 4i)	Ehb cluster	interconversion of molecular H+ and H6	EhbD	EhbD	no	K14113	COG1563	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenes without cytochromes	0	energy conversion	energy-converting [NiFe] hydrogenase B (group 4i)	Ehb cluster	interconversion of molecular H+ and H7	EhbE	EhbE	no	K14114	COG1006	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenes without cytochromes	0	energy conversion	energy-converting [NiFe] hydrogenase B (group 4i)	Ehb cluster	interconversion of molecular H+ and H8	EhbF	EhbF	no	K14115	COG0651	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenes without cytochromes	0	energy conversion	energy-converting [NiFe] hydrogenase B (group 4i)	Ehb cluster	interconversion of molecular H+ and H9	EhbG	EhbG	no	K14116	NA	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenes without cytochromes	0	energy conversion	energy-converting [NiFe] hydrogenase B (group 4i)	Ehb cluster	interconversion of molecular H+ and H10	EhbH	EhbH	no	K14117	COG2111	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenes without cytochromes	0	energy conversion	energy-converting [NiFe] hydrogenase B (group 4i)	Ehb cluster	interconversion of molecular H+ and H11	EhbI	EhbI	no	K14118	COG2111	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenes without cytochromes	0	energy conversion	energy-converting [NiFe] hydrogenase B (group 4i)	Ehb cluster	interconversion of molecular H+ and H12	EhbJ	EhbJ	no	K14119	NA	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenes without cytochromes	0	energy conversion	energy-converting [NiFe] hydrogenase B (group 4i)	Ehb cluster	interconversion of molecular H+ and H13	EhbK	EhbK	no	K14120	COG1145	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenes without cytochromes	0	energy conversion	energy-converting [NiFe] hydrogenase B (group 4i)	Ehb cluster	interconversion of molecular H+ and H14	EhbL	EhbL	no	K14121	COG1143	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenes without cytochromes	0	energy conversion	energy-converting [NiFe] hydrogenase B (group 4i)	Ehb cluster	interconversion of molecular H+ and H15	EhbM	EhbM	no	K14122	COG3260	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenes without cytochromes	0	energy conversion	energy-converting [NiFe] hydrogenase B (group 4i)	Ehb cluster	interconversion of molecular H+ and H16	EhbN	EhbN	no	K14123	COG3261	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenes without cytochromes	0	energy conversion	energy-converting [NiFe] hydrogenase B (group 4i)	Ehb cluster	interconversion of molecular H+ and H17	EhbO	EhbO	no	K14124	COG0650	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenes without cytochromes	0	energy conversion	energy-converting [NiFe] hydrogenase B (group 4i)	Ehb cluster	interconversion of molecular H+ and H18	EhbP	EhbP	no	K14125	NA	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogenes without cytochromes	0	energy conversion	energy-converting [NiFe] hydrogenase B (group 4i)	Ehb cluster	interconversion of molecular H+ and H19	EhbQ	EhbQ	no	K06862	COG1707	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogens coenzyme B biosynthesis 	M00608 	byosinthesis of cofactors	methanogen homocitrate synthase	aks 	acetyl-CoA:2-oxoglutarate C-acetyltransferase (thioester-hydrolysing, carboxymethyl forming)	aksA	aksA	no	K10977	COG0119	0004410	NA	NA	NA	NA
yes	yes	methanogenesis	methanogens coenzyme B biosynthesis 	M00609	byosinthesis of cofactors	methanogen homoaconitase large subunit	aks 	(1R,2S)-homoisocitrate _ cis-homoaconitate + H2O	aksD	aksD	no	K16792	COG0065	NA	NA	NA	NA	NA
yes	yes	methanogenesis	methanogens coenzyme B biosynthesis 	M00610	byosinthesis of cofactors	methanogen homoaconitase small subunit	aks 	(1R,2S)-homoisocitrate _ cis-homoaconitate + H2O	aksE	aksE	no	K16793	COG0066	NA	NA	NA	NA	NA
		methanogenesis	methanogens coenzyme B biosynthesis 	M00611	byosinthesis of cofactors	methanogen homoisocitrate dehydrogenase	aks 	(1R,2S)-homoisocitrate + NAD+ _ 2-oxoadipate + CO2 + NADH	aksF	aksF	no	K10978	COG0473	NA	NA	NA	NA	NA
yes	yes	methanogenesis	 post-translational installation of thioglycine into McrA	0	methanogenesis	thioglycine synthase 	YcaO superfamily	 post-translational thioamidation of McrA	TvaH	TvaH	yes	K09136	COG1944	NA	NA	NA	NA	NA
yes	yes	methanogenesis	 post-translational installation of thioglycine into McrA	0	methanogenesis	TfuA-like protein 	TfuA protein	 post-translational thioamidation of McrA	TfuA	TfuA	no	K24410	COG3482	NA	NA	NA	NA	NA
yes	yes	methanogenesis	fungi-halomethane dependent pathway	0		methyl chloride transferase 	MCT	Synthesis of CH3Cl from S-adenosyl-l-methionine (SAM) and/or Met	mct1,mct2	mct1	no	NA	NA	NA	OM864274	NA	NA	NA
yes	yes	methanogenesis	fungi-halomethane dependent pathway	0		methyl chloride transferase 	MCT	Synthesis of CH3Cl from S-adenosyl-l-methionine (SAM) and/or Met	mct1,mct2	mct2	no	NA	NA	NA	OM864275 	NA	NA	NA
yes	yes	methanogenesis	fungi-halomethane dependent pathway	0		methionine synthase	MS	Synthesis of SAM/Met	ms	ms	no	NA	NA	NA	OM864268, P42319	NA	NA	NA
yes	yes	methanogenesis	fungi-halomethane dependent pathway	0		dehalogenase 	DH	Degradation of CH3Cl	dh1	dh1	no	NA	NA	NA	OM864272 	NA	NA	NA
yes	yes	methanogenesis	fungi-halomethane dependent pathway	0		dehalogenase 	DH	Degradation of CH3Cl	dh2	dh2	no	NA	NA	NA	OM864269 	NA	NA	NA
yes	yes	methanogenesis	fungi-halomethane dependent pathway	0		dehalogenase 	DH	Degradation of CH3Cl	dh3	dh3	no	NA	NA	NA	OM864270	NA	NA	NA
yes	yes	methanogenesis	fungi-halomethane dependent pathway	0		dehalogenase 	DH	Degradation of CH3Cl	dh4	dh4	no	NA	NA	NA	OM864271	NA	NA	NA
yes	yes	methanogenesis	fungi-halomethane dependent pathway	0		dehalogenase 	DH	Degradation of CH3Cl	dh5	dh5	no	NA	NA	NA	OM864273 	NA	NA	NA
yes	yes	methanogenesis	Carbon Monooxide 	0		CO-dehydrogenating enzyme 	codh	reduction of F420 with CO	codh	codh	no					NA	NA	NA
yes	yes	acetogenesis	NA	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	anaerobic carbon-monoxide dehydrogenase catalytic subunit 	cooS, acsA	carbon-monoxide,water:ferredoxin oxidoreductase	coo	cooS	yes	K00198	COG1151	0043885	NA	NA	NA	NA
yes	yes	acetogenesis	NA	M00356, M00357, M00563, M00367	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	formate dehydrogenase (coenzyme F420) alpha subunit 	fdhA	"	
Formate + Coenzyme F420 <=> CO2 + Reduced coenzyme F42 / Coenzyme B + Coenzyme M + 2 Reduced ferredoxin + 2 CO2 + 2 H+ <=> Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + 2 Oxidized ferredoxin + 2 Formate"	fdh	fdhA	no	K22516	COG3383	0043794	NA	NA	NA	NA
yes	yes	acetogenesis	NA	M00356, M00357, M00563, M00367	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	formate dehydrogenase (coenzyme F420) beta subunit 	fdhB	"	
Formate + Coenzyme F420 <=> CO2 + Reduced coenzyme F42 / Coenzyme B + Coenzyme M + 2 Reduced ferredoxin + 2 CO2 + 2 H+ <=> Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + 2 Oxidized ferredoxin + 2 Formate"	fdh	fdhB	no	K00125	COG1035	0043794	NA	NA	NA	NA
yes	yes	acetogenesis	NA	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	formate dehydrogenase (hydrogenase)	fdhF	CO2 + Hydrogen <=> Formate	fdh	fdhF	yes	K22015	NA	NA	NA	NA	NA	NA
yes	yes	acetogenesis	NA	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	iron hydrogenase HydA2	hydA2	CO2 + Hydrogen <=> Formate	hyd	hydA2	no	K25123	COG4624 COG1145	NA	NA	NA	NA	NA
yes	yes	acetogenesis	NA	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	FeS-containing electron transfer protein	hycB	CO2 + Hydrogen <=> Formate	hycB	hycB	no	K25124	COG1142	NA	NA	NA	NA	NA
yes	yes	acetogenesis	NA	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	formyl tetrahydrofolate synthetase	fhs	formate:tetrahydrofolate ligase (ADP-forming)	fhs	fhs	yes	K01938	COG2759	0004329	NA	NA	NA	NA
yes	yes	acetogenesis	NA	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	methylenetetrahydrofolate dehydrogenase (NADP+)	folD	5,10-Methylenetetrahydrofolate + NADP+ <=> 5,10-Methenyltetrahydrofolate + NADPH	folD	folD	yes	K01491	COG0190	0004477	NA	NA	NA	NA
yes	yes	acetogenesis	NA	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	methenyltetrahydrofolate cyclohydrolase	fchA	5,10-methenyltetrahydrofolate 5-hydrolase (decyclizing)	fchA	fchA	no	K01500	COG3404	0004477	NA	NA	NA	NA
yes	yes	acetogenesis	NA	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	methylenetetrahydrofolate reductase (NADH)	metF	5-methyltetrahydrofolate:NAD+ oxidoreductase	met	metF	no	K00297	COG0685	0106312	NA	NA	NA	NA
yes	yes	acetogenesis	NA	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	methylenetetrahydrofolate reductase (NADH) small subunit	metV	5-methyltetrahydrofolate:NAD+ oxidoreductase	metV	metV	no	K25007	NA	NA	NA	NA	NA	NA
yes	yes	acetogenesis	NA	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	ion-translocating oxidoreductase complex subunit C	rnfC2		rnfC2	rnfC3	no	K25008 	COG4656	NA	NA	NA	NA	NA
yes	yes	acetogenesis	NA	M00377	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	5-methyltetrahydrofolate corrinoid/iron sulfur protein methyltransferase	acsE	5-Methyltetrahydrofolate + Co(I) corrinoid protein + H+ <=> Methyl-Co(III) corrinoid protein + Tetrahydrofolate	acsE	acsE	no	K15023	NA	NA	NA	NA	NA	NA
yes	yes	acetogenesis	NA	M00357	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	acetyl-CoA synthetase	acsB	Acetyl-CoA + Co(I) corrinoid protein + H+ <=> CO + Methyl-Co(III) corrinoid protein + CoA	acs	acs	no	K01895	COG0365	003987	NA	NA	NA	NA
yes	yes	acetogenesis	NA	M00357, M00377, M00422	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma 	cdhDE	a[methy Co(III) corrinoid] FeS protrein to 5-methyl-H4MPT	cdhDE	cdhE	no	K00197	COG1456	NA	NA	NA	NA	NA
yes	yes	acetogenesis	NA	M00357, M00377, M00422	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	acetyl-CoA decarbonylase/synthase,CODH/ACS complex subunit delta	cdhDE	a[methy Co(III) corrinoid] FeS protrein to 5-methyl-H4MPT	cdhDE	cdhD	no	K00194	COG2069	NA	NA	NA	NA	NA
yes	yes	methanotrophy 	NA	M00174	Methane oxidation	methane monooxygenase component A alpha chain	EC:1.14.13.25	CH4 + O2 + e => methanol	soluble MMO	mmoX	yes	K16157	NA	0015049	NA	NA	NA	NA
yes	yes	methanotrophy	NA	M00174	Methane oxidation	methane monooxygenase component A gamma chain	EC:1.14.13.25	CH4 + O2 + e => methanol	soluble MMO	mmoZ	no	K16159	NA	0015049	NA	NA	NA	NA
yes	yes	methanotrophy	NA	M00174	Methane oxidation	methane monooxygenase component C 	EC:1.14.13.25	CH4 + O2 + e => methanol	soluble MMO	mmoC	no	K16161	COG0543	0015049	NA	NA	NA	NA
yes	yes	methanotrophy	NA	M00174	Methane oxidation	methane monooxygenase regulatory protein B	0	CH4 + O2 + e => methanol	soluble MMO	mmoB	no	K16160	NA	NA	NA	NA	NA	NA
yes	yes	methanotrophy	NA	M00174	Methane oxidation	methane monooxygenase component A beta chain	EC:1.14.13.25	CH4 + O2 + e => methanol	soluble MMO	mmoY	no	K16158	NA	0015049	NA	NA	NA	NA
yes	yes	methanotrophy	NA	M00174, M00528, M00894	Methane oxidation	Methane Monooxygenasee subunit A	EC:1.14.18.3	CH4 + O2 + e => methanol	soluble MMO	pmoA	yes	K10944	NA	NA	NA	NA	NA	NA
yes	yes	methanotrophy	NA	M00174, M00528, M00894	Methane oxidation	Methane Monooxygenasee subunit B	EC:1.14.18.3	CH4 + O2 + e => methanol	particulate MMO	pmoB	no	K10945	NA	NA	NA	NA	NA	NA
yes	yes	methanotrophy	NA	M00174, M00528, M00894	Methane oxidation	Methane Monooxygenasee subunit C	EC:1.14.18.3	CH4 + O2 + e => methanol	particulate MMO	pmoC	no	K10946	NA	NA	NA	NA	NA	NA
yes	yes	methanotrophy	NA	M00174	Methanol oxidation	methanol dehydrogenase (cytochrome c) subunit 1	EC:1.1.2.7	methanol => formaldehyde + e ( pyrroloquinoline quinone (PQQ) as a cofactor)	canonical MDH	mxaF	yes	K14028	NA	0052930	NA	NA	NA	NA
yes	yes	methanotrophy	NA	M00174	Methanol oxidation	methanol dehydrogenase (cytochrome c) subunit 2	EC:1.1.2.7	methanol => formaldehyde + e ( pyrroloquinoline quinone (PQQ) as a cofactor)	canonical MDH	mxaI	yes	K14029	NA	NA	NA	NA	NA	NA
yes	yes	methanotrophy	NA	0	Methanol oxidation	Methanol Dehydrogenase accessory protein	0	methanol => formaldehyde + e ( pyrroloquinoline quinone (PQQ) as a cofactor)	canonical MDH	mxaJ	no	K16254	NA	NA	NA	NA	NA	NA
yes	yes	methanotrophy	NA	0	Methanol oxidation	Methanol Dehydrogenase large subunit (cytochrome c-L)	0	methanol => formaldehyde + e ( pyrroloquinoline quinone (PQQ) as a cofactor)	canonical MDH	mxaG	no	K16255	NA	NA	NA	NA	NA	NA
yes	yes	methanotrophy	NA	M00174	Methanol oxidation	Methanol Dehydrogenase 	0	methanol => formaldehyde + e ( pyrroloquinoline quinone (PQQ) as a cofactor)	canonical MDH	mxaD	no	K16260	NA	NA	NA	NA	NA	NA
yes	yes	methanotrophy	NA	M00174	Methanol oxidation	Methanol Dehydrogenase 	0	methanol => formaldehyde + e ( pyrroloquinoline quinone (PQQ) as a cofactor)	canonical MDH	mxaC	no	K16257	NA	NA	NA	NA	NA	NA
yes	yes	methanotrophy	NA	M00174	Methanol oxidation	Methanol Dehydrogenase 	0	methanol => formaldehyde + e ( pyrroloquinoline quinone (PQQ) as a cofactor)	canonical MDH	mxaK	no	K16258	NA	NA	NA	NA	NA	NA
yes	yes	methanotrophy	NA	M00174	Methanol oxidation	Methanol Dehydrogenase 	0	methanol => formaldehyde + e ( pyrroloquinoline quinone (PQQ) as a cofactor)	canonical MDH	mxaL	no	K16259	NA	NA	NA	NA	NA	NA
yes	yes	methanotrophy	NA	M00174	Methanol oxidation	Methanol Dehydrogenase 	0	methanol => formaldehyde + e ( pyrroloquinoline quinone (PQQ) as a cofactor)	canonical MDH	mxaA	no	K16256	NA	NA	NA	NA	NA	NA
yes	yes	methanotrophy	NA	M00174	Methanol oxidation	lanthanide-dependent methanol dehydrogenase	EC:1.1.2.10	methanol => formaldehyde + e ( pyrroloquinoline quinone (PQQ) as a cofactor)	lanthanide-dependent MDH	xoxF	no	K23995	COG4993	NA	NA	NA	NA	NA
yes	yes	methanotrophy	NA	0	Formaldehyde Oxidation	Formate Dehydrogenase (FDH)	EC:1.17.1.9	Formate => CO2	FDH	fdh	no	K00122	NA	0008863	NA	NA	NA	NA
yes	yes	methanotrophy	NA	0	Formaldehyde Oxidation		EC:1.17.1.9	Formate => CO3	FDH	fdhF, fdoG, fdwA	no	K00123	COG0243	0008863	NA	NA	NA	NA
yes	yes	methanotrophy	NA	0	Formaldehyde Oxidation		EC:1.17.1.9	Formate => CO4	FDH	fdsD	no	K00126	NA	0008863	NA	NA	NA	NA
yes	yes	methanotrophy	NA	0	Formaldehyde Oxidation		EC:1.17.1.9	Formate => CO5	FDH	fdwB	no	K22515	COG1894	0008863	NA	NA	NA	NA
yes	yes	methanotrophy	NA	0	Formaldehyde Oxidation	Formate Dehydrogenase (FDH)	EC:1.2.1.2	Formate => CO2	FDH	fdhB	no	NA	NA	NA	NA	NA	NA	NA
yes	yes	methanotrophy	NA	0	Formaldehyde Oxidation	Formate Dehydrogenase (FDH)	EC:1.2.1.46	formaldehyde => formate	FDH	fdhA	no	K00148	NA	0018467	NA	NA	NA	NA
yes	yes	methanotrophy	NA		Formaldehyde Assimilation (RuMP and Serine Pathways)	3-Hexulose-6-phosphate Synthase (HPS)	EC:4.1.2.43	 formaldehyde + ribulose-5-phosphate => hexulose-6-phosphate.	HPS-PHI	hps	no	K13831	COG0269	0043801	NA	NA	NA	NA
yes	yes	methanotrophy	NA		Formaldehyde Assimilation (RuMP and Serine Pathways)	6-Phospho-3-hexuloisomerase 	EC:5.3.1.27	 hexulose-6-phosphate => fructose-6-phosphate (enters central metabolic pathways)	HPS-PHI	phi	no	K13831	COG0684	0043800	NA	NA	NA	NA
yes	yes	methanotrophy	NA	"M00140, M00141,M00346,M00532 
M00975 "	Formaldehyde Assimilation (RuMP and Serine Pathways)	Serine Hydroxymethyltransferase (SHMT)	EC:2.1.2.1	glycine =>serine (incorporation of formaldehyde into the serine pathway) 	SHMT	glyA	no	K00600	COG0112	0004372	NA	NA	NA	NA
yes	yes	methanotrophy	NA	0	Formaldehyde Assimilation (RuMP and Serine Pathways)	Hydroxypyruvate Reductase 	EC:1.1.1.81	hydroxypyruvate => glycerate (serine pathway)	HPR	hpr	no	K22982	COG0111	0016618	NA	NA	NA	NA
yes	yes	methanotrophy	NA	M00532	Formaldehyde Assimilation (RuMP and Serine Pathways)	Glycerate Kinase	EC:2.7.1.31	glycerate => 2-phosphoglycerate (serine pathway)	GLYCK	gck	no	K15918	COG4240	0008887	NA	NA	NA	NA
yes	yes	methanotrophy	NA	0	Electron Transport and Energy Conservation	Cytochrome c Oxidase	EC 7.1.1.9 	e transport chain methanotrophs	COX1	coxA	yes	K02274	COG0843	0004129	NA	NA	NA	NA
yes	yes	methanotrophy	NA	0	Electron Transport and Energy Conservation	Quinoprotein Alcohol Dehydrogenase	0	May play a role in oxidizing various alcohols, including methanol	EXAa	exaA	yes	K00114	COG4993	0052934	NA	NA	NA	NA
yes	yes	AOM (ANME-SRB)	NA	M00356, M00357, M00563, M00567	Methane Activation	Methyl-Coenzyme M Reductase	0	methane => form methyl-coenzyme M	mcrABC	mcrA	yes	K00399	NA	0050524	NA	NA	NA	NA
yes	yes	AOM (ANME-SRB)	NA	M00356, M00357, M00563, M00567	Methane Activation	Methyl-Coenzyme M Reductase	0	methane => form methyl-coenzyme M	mcrABC	mcrB	yes	K00401	NA	0050524	NA	NA	NA	NA
yes	yes	AOM (ANME-SRB)	NA	0	Methane Activation	Methyl-Coenzyme M Reductase	0	methane => form methyl-coenzyme M	mcrABC	mcrC	no	K03421	NA	NA	NA	NA	NA	NA
yes	no	Aceylene fermetation	NA	0	Aceylene fermetation	acetylene hydratase (AH)	EC 4.2.1.112	hydration of acetylene (C_H_) to form acetaldehyde		ahpC	yes	NA	NA	NA	NA	NA	NA	NA
yes	no	Aceylene fermetation	NA	0	Aceylene fermetation	acetylene hydratase (AH)	EC 4.2.1.113	hydration of acetylene (C_H_) to form acetaldehyde		ahpD	yes	NA	NA	NA	NA	NA	NA	NA
yes	no	Aceylene fermetation	NA	0	Aceylene fermetation	molybdate transport system substrate-binding protein	EC:2.4.2.31	hydration of acetylene (C_H_) to form acetaldehyde	modABC	modA	yes	K02020	COG0725	NA	NA	NA	NA	NA
yes	no	Aceylene fermetation	NA	0	Aceylene fermetation	molybdate transport system permease protein	0	Tungstate ( tungsten-pterin complex W-MTP cofactor AH) Transport and Processing	modABC	modB	no	K02018	COG4149	NA	NA	NA	NA	NA
yes	no	Aceylene fermetation	NA	0	Aceylene fermetation	molybdate transport system ATP-binding protein	EC:7.3.2.5	Tungstate ( tungsten-pterin complex W-MTP cofactor AH) Transport and Processing	modABC	modC	no	K02017	COG4148	0015412	NA	NA	NA	NA
yes	no	Aceylene fermetation	NA	0	Aceylene fermetation	molybdate transport system ATP-binding protein	EC:7.3.2.5	Tungstate ( tungsten-pterin complex W-MTP cofactor AH) Transport and Processing	modF	modF	no	K05776	COG1119	NA	NA	NA	NA	NA
yes	no	Aceylene fermetation	NA	0	Aceylene fermetation	tungstate transport system substrate-binding protein	0	Tungstate ( tungsten-pterin complex W-MTP cofactor AH) Transport and Processing	tupABC	tupA	no	K05772	COG2998	NA	NA	NA	NA	NA
yes	no	Aceylene fermetation	NA	0	Aceylene fermetation	tungstate transport system permease protein	0	Tungstate ( tungsten-pterin complex W-MTP cofactor AH) Transport and Processing	tupABC	tupB	no	NA	NA	NA	NA	NA	NA	NA
yes	no	Aceylene fermetation	NA	0	Aceylene fermetation	tungstate transport system ATP-binding protein	EC:7.3.2.6	Tungstate ( tungsten-pterin complex W-MTP cofactor AH) Transport and Processing	tupABC	tupC	no	NA	NA	NA	NA	NA	NA	NA
yes	no	Aceylene fermetation	NA	0	Aceylene fermetation		0	W-MTP biosynthesis	tupE	tupE	no	NA	NA	NA	NA	NA	NA	NA
yes	no	Aceylene fermetation	NA	M00880	Aceylene fermetation	GTP 3',8-cyclase MOCS1	EC 4.1.99.22 	W-MTP biosynthesis	moaABCDE	moaA	no	K03639	COG2896	0061798	NA	NA	NA	NA
yes	no	Aceylene fermetation	NA	M00880	Aceylene fermetation	molybdopterin adenylyltransferase MOCS1	EC:2.7.7.75	W-MTP biosynthesis	moaABCDE	moaB	no	K03638	COG0521	0061598	NA	NA	NA	NA
yes	no	Aceylene fermetation	NA	M00880	Aceylene fermetation	cyclic pyranopterin monophosphate synthase	EC:4.6.1.17	W-MTP biosynthesis	moaABCDE	moaC	no	K03637	COG0315	0061799	NA	NA	NA	NA
yes	no	Aceylene fermetation	NA	0	Aceylene fermetation	molybdopterin synthase sulfur carrier subunit MOCS2A	0	W-MTP biosynthesis	moaABCDE	moaD	no	K03636	COG1977		NA	NA	NA	NA
yes	no	Aceylene fermetation	NA	M00880	Aceylene fermetation	molybdopterin synthase catalytic subunit MOCS2B	EC:2.8.1.12	W-MTP biosynthesis	moaABCDE	moaE	no	K03635	COG0314	0030366	NA	NA	NA	NA
yes	no	Aceylene fermetation	NA	0	Aceylene fermetation		0	W-MTP insertion 	tupF	tupF	no	NA	NA	NA	NA	NA	NA	NA
yes	no	Aceylene fermetation	NA	0	Aceylene fermetation	molybdopterin-guanine dinucleotide biosynthesis adapter protein	0	W-MTP insertion 	mobB	mobB	no	K03753	COG1763	NA	NA	NA	NA	NA
yes	no	Aceylene fermetation	NA	0	Aceylene fermetation		0	W-MTP insertion 	mog	mog	no	NA	NA	NA	NA	NA	NA	NA
yes	no	Aceylene fermetation	NA	0	Aceylene fermetation		0	W-MTP insertion and maduration	moeA	moeA	no	NA	NA	NA	NA	NA	NA	NA
